Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,37.919998,38.130001,37.490002,37.779999,32.998386,29717500
2014-03-04,38.200001,38.480000,38.070000,38.410000,33.548656,26802400
2014-03-05,38.250000,38.270000,37.930000,38.110001,33.286617,20520100
2014-03-06,38.139999,38.240002,37.889999,38.150002,33.321556,23582200
2014-03-07,38.279999,38.360001,37.689999,37.900002,33.103210,26591600
2014-03-10,37.990002,38.009998,37.720001,37.820000,33.033325,19006600
2014-03-11,37.869999,38.230000,37.720001,38.020000,33.208008,25216400
2014-03-12,37.799999,38.430000,37.790001,38.270000,33.426369,30494100
2014-03-13,38.419998,38.450001,37.639999,37.889999,33.094460,32169700
2014-03-14,37.650002,38.139999,37.509998,37.700001,32.928516,27195600
2014-03-17,37.900002,38.410000,37.790001,38.049999,33.234211,20479600
2014-03-18,38.259998,39.900002,38.220001,39.549999,34.544369,64063900
2014-03-19,39.470001,39.549999,38.910000,39.270000,34.299805,35597200
2014-03-20,39.250000,40.650002,39.240002,40.330002,35.225651,59269800
2014-03-21,40.720001,40.939999,40.009998,40.160000,35.077164,80721800
2014-03-24,40.340000,40.639999,39.860001,40.500000,35.374126,46098400
2014-03-25,40.660000,40.990002,39.959999,40.340000,35.234375,43193100
2014-03-26,40.480000,40.709999,39.599998,39.790001,34.753990,41977500
2014-03-27,39.740002,39.970001,39.340000,39.360001,34.378422,35369200
2014-03-28,39.790001,40.639999,39.680000,40.299999,35.199444,43472700
2014-03-31,40.430000,41.500000,40.400002,40.990002,35.802132,46886300
2014-04-01,41.150002,41.590000,41.070000,41.419998,36.177704,32605000
2014-04-02,41.439999,41.660000,41.169998,41.349998,36.116558,28666700
2014-04-03,41.290001,41.290001,40.709999,41.009998,35.819584,30139600
2014-04-04,41.250000,41.389999,39.639999,39.869999,34.823860,51409600
2014-04-07,39.959999,40.270000,39.740002,39.799999,34.762733,37559600
2014-04-08,39.750000,39.930000,39.200001,39.820000,34.780201,35918600
2014-04-09,39.930000,40.549999,39.880001,40.470001,35.347935,27398700
2014-04-10,40.439999,40.689999,39.090000,39.360001,34.378422,45960800
2014-04-11,39.000000,39.790001,39.000000,39.209999,34.247410,34330200
2014-04-14,39.110001,39.410000,38.900002,39.180000,34.221191,32006600
2014-04-15,39.340000,39.959999,39.049999,39.750000,34.719051,33968700
2014-04-16,40.060001,40.419998,39.910000,40.400002,35.286789,30615800
2014-04-17,40.009998,40.200001,39.509998,40.009998,34.946152,36688400
2014-04-21,40.130001,40.150002,39.790001,39.939999,34.885006,22221200
2014-04-22,39.959999,40.139999,39.830002,39.990002,34.928680,27056700
2014-04-23,39.990002,39.990002,39.470001,39.689999,34.666656,24602800
2014-04-24,39.740002,39.970001,39.299999,39.860001,34.815132,42381600
2014-04-25,40.290001,40.680000,39.750000,39.910000,34.858807,56876800
2014-04-28,40.139999,41.290001,40.090000,40.869999,35.697311,50610200
2014-04-29,41.099998,41.189999,40.389999,40.509998,35.382874,29636200
2014-04-30,40.400002,40.500000,40.169998,40.400002,35.286789,35458700
2014-05-01,40.240002,40.360001,39.950001,40.000000,34.937424,28787400
2014-05-02,40.310001,40.340000,39.660000,39.689999,34.666656,43416600
2014-05-05,39.520000,39.639999,39.299999,39.430000,34.439548,22460900
2014-05-06,39.290001,39.349998,38.950001,39.060001,34.116390,27112400
2014-05-07,39.220001,39.509998,38.509998,39.419998,34.430817,41744500
2014-05-08,39.340000,39.900002,38.970001,39.639999,34.622967,32120400
2014-05-09,39.540001,39.849998,39.369999,39.540001,34.535633,29647600
2014-05-12,39.740002,40.020000,39.650002,39.970001,34.911205,22782600
