,Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,dayofweek_num,dayofweek_name,control_stock
0,1991-01-02,373.0,373.5,371.799988,372.200012,372.200012,92020000,1991,1,2,2,Wednesday,buyersControl
1,1991-01-03,371.200012,371.799988,367.399994,367.5,367.5,108390000,1991,1,3,3,Thursday,buyersControl
2,1991-01-04,366.5,367.899994,365.899994,367.200012,367.200012,103830000,1991,1,4,4,Friday,sellersControl
3,1991-01-07,363.5,365.799988,360.100006,360.200012,360.200012,109460000,1991,1,7,0,Monday,buyersControl
4,1991-01-08,359.100006,360.5,358.200012,359.0,359.0,111730000,1991,1,8,1,Tuesday,buyersControl
5,1991-01-09,362.399994,365.0,357.100006,357.5,357.5,145780000,1991,1,9,2,Wednesday,buyersControl
6,1991-01-10,358.899994,361.899994,358.299988,361.899994,361.899994,110140000,1991,1,10,3,Thursday,sellersControl
7,1991-01-11,362.100006,362.200012,360.5,361.799988,361.799988,107650000,1991,1,11,4,Friday,buyersControl
8,1991-01-14,355.200012,358.700012,353.0,355.799988,355.799988,101810000,1991,1,14,0,Monday,sellersControl
9,1991-01-15,354.899994,357.399994,354.5,357.299988,357.299988,102570000,1991,1,15,1,Tuesday,sellersControl
10,1991-01-16,358.600006,365.200012,357.600006,365.200012,365.200012,122160000,1991,1,16,2,Wednesday,sellersControl
11,1991-01-17,379.100006,380.200012,371.600006,375.799988,375.799988,212350000,1991,1,17,3,Thursday,buyersControl
12,1991-01-18,373.100006,377.100006,371.799988,377.0,377.0,138660000,1991,1,18,4,Friday,sellersControl
13,1991-01-21,374.5,379.799988,374.399994,379.700012,379.700012,96960000,1991,1,21,0,Monday,sellersControl
14,1991-01-22,380.100006,381.600006,378.299988,379.0,379.0,131180000,1991,1,22,1,Tuesday,buyersControl
15,1991-01-23,379.0,384.100006,378.200012,383.899994,383.899994,133840000,1991,1,23,2,Wednesday,sellersControl
16,1991-01-24,386.700012,391.799988,384.899994,391.299988,391.299988,176560000,1991,1,24,3,Thursday,sellersControl
17,1991-01-25,391.799988,395.100006,391.100006,394.299988,394.299988,158790000,1991,1,25,4,Friday,sellersControl
18,1991-01-28,394.5,397.600006,393.600006,396.799988,396.799988,128500000,1991,1,28,0,Monday,sellersControl
19,1991-01-29,396.0,400.700012,395.700012,400.600006,400.600006,152060000,1991,1,29,1,Tuesday,sellersControl
20,1991-01-30,401.899994,408.5,400.399994,408.5,408.5,202660000,1991,1,30,2,Wednesday,sellersControl
21,1991-01-31,409.799988,414.200012,408.600006,414.200012,414.200012,177260000,1991,1,31,3,Thursday,sellersControl
22,1991-02-01,415.100006,418.899994,413.5,417.700012,417.700012,168220000,1991,2,1,4,Friday,sellersControl
23,1991-02-04,418.799988,424.89999400000005,417.5,424.799988,424.799988,185940000,1991,2,4,0,Monday,sellersControl
24,1991-02-05,427.200012,432.200012,425.39999400000005,432.200012,432.200012,208510000,1991,2,5,1,Tuesday,sellersControl
25,1991-02-06,432.299988,439.299988,430.39999400000005,439.200012,439.200012,219590000,1991,2,6,2,Wednesday,sellersControl
26,1991-02-07,439.10000599999995,442.5,433.299988,435.0,435.0,245600000,1991,2,7,3,Thursday,buyersControl
27,1991-02-08,434.10000599999995,437.0,433.10000599999995,436.799988,436.799988,168190000,1991,2,8,4,Friday,sellersControl
28,1991-02-11,444.10000599999995,444.200012,444.10000599999995,444.10000599999995,444.10000599999995,184840000,1991,2,11,0,Monday,buyersControl
29,1991-02-12,443.60000599999995,445.39999400000005,442.5,444.0,444.0,200740000,1991,2,12,1,Tuesday,sellersControl
30,1991-02-13,443.799988,448.0,442.799988,448.0,448.0,176580000,1991,2,13,2,Wednesday,sellersControl
31,1991-02-14,449.39999400000005,450.299988,443.10000599999995,444.299988,444.299988,191670000,1991,2,14,3,Thursday,buyersControl
32,1991-02-15,447.89999400000005,449.10000599999995,445.39999400000005,448.700012,448.700012,155030000,1991,2,15,4,Friday,sellersControl
33,1991-02-19,448.200012,450.299988,447.5,450.299988,450.299988,132890000,1991,2,19,1,Tuesday,sellersControl
34,1991-02-20,447.299988,449.5,445.799988,446.0,446.0,142240000,1991,2,20,2,Wednesday,buyersControl
35,1991-02-21,447.200012,447.700012,446.200012,446.39999400000005,446.39999400000005,142810000,1991,2,21,3,Thursday,buyersControl
36,1991-02-22,447.799988,453.0,446.39999400000005,449.0,449.0,177010000,1991,2,22,4,Friday,sellersControl
37,1991-02-25,453.60000599999995,454.200012,451.10000599999995,451.10000599999995,451.10000599999995,149260000,1991,2,25,0,Monday,buyersControl
38,1991-02-26,448.39999400000005,449.700012,446.39999400000005,447.700012,447.700012,130460000,1991,2,26,1,Tuesday,buyersControl
39,1991-02-27,447.0,451.0,446.799988,450.799988,450.799988,161920000,1991,2,27,2,Wednesday,sellersControl
40,1991-02-28,452.799988,453.5,450.299988,453.10000599999995,453.10000599999995,171460000,1991,2,28,3,Thursday,sellersControl
41,1991-03-01,450.60000599999995,456.700012,450.299988,456.700012,456.700012,160530000,1991,3,1,4,Friday,sellersControl
42,1991-03-04,458.10000599999995,461.39999400000005,457.200012,461.10000599999995,461.10000599999995,149790000,1991,3,4,0,Monday,sellersControl
43,1991-03-05,463.60000599999995,473.5,461.89999400000005,473.10000599999995,473.10000599999995,224880000,1991,3,5,1,Tuesday,sellersControl
44,1991-03-06,478.0,478.5,473.700012,473.799988,473.799988,283080000,1991,3,6,2,Wednesday,buyersControl
45,1991-03-07,474.700012,476.200012,472.39999400000005,475.73999000000003,475.73999000000003,191890000,1991,3,7,3,Thursday,sellersControl
46,1991-03-08,478.200012,478.799988,475.10000599999995,475.10998499999994,475.10998499999994,187910000,1991,3,8,4,Friday,buyersControl
47,1991-03-11,473.0,474.0,466.60000599999995,467.14999400000005,467.14999400000005,161250000,1991,3,11,0,Monday,buyersControl
48,1991-03-12,465.60000599999995,467.160004,461.170013,461.39999400000005,461.39999400000005,162510000,1991,3,12,1,Tuesday,buyersControl
49,1991-03-13,461.329987,468.32000700000003,461.119995,468.17999299999997,468.17999299999997,162950000,1991,3,13,2,Wednesday,sellersControl
50,1991-03-14,471.01000999999997,472.52999900000003,466.73999000000003,467.790009,467.790009,199410000,1991,3,14,3,Thursday,buyersControl
51,1991-03-15,466.98001100000005,468.549988,464.27999900000003,466.290009,466.290009,157720000,1991,3,15,4,Friday,buyersControl
52,1991-03-18,465.75,468.02999900000003,463.540009,466.26998899999995,466.26998899999995,138290000,1991,3,18,0,Monday,sellersControl
53,1991-03-19,460.170013,464.35998499999994,459.040009,462.80999800000006,462.80999800000006,149340000,1991,3,19,1,Tuesday,sellersControl
54,1991-03-20,462.209991,466.119995,461.880005,466.089996,466.089996,161440000,1991,3,20,2,Wednesday,sellersControl
55,1991-03-21,468.30999800000006,469.410004,464.25,464.60000599999995,464.60000599999995,206920000,1991,3,21,3,Thursday,buyersControl
56,1991-03-22,464.30999800000006,464.77999900000003,463.040009,464.14999400000005,464.14999400000005,168080000,1991,3,22,4,Friday,buyersControl
57,1991-03-25,465.299988,469.10000599999995,464.76000999999997,468.48999000000003,468.48999000000003,148570000,1991,3,25,0,Monday,sellersControl
58,1991-03-26,470.27999900000003,478.64001500000006,469.10000599999995,478.57000700000003,478.57000700000003,191970000,1991,3,26,1,Tuesday,sellersControl
59,1991-03-27,481.380005,482.950012,479.35998499999994,482.369995,482.369995,194380000,1991,3,27,2,Wednesday,sellersControl
60,1991-03-28,482.339996,483.32000700000003,481.76998899999995,482.299988,482.299988,184300000,1991,3,28,3,Thursday,buyersControl
61,1991-04-01,480.17999299999997,481.630005,479.119995,480.85998499999994,480.85998499999994,126190000,1991,4,1,0,Monday,sellersControl
62,1991-04-02,483.64999400000005,491.22000099999997,481.85000599999995,491.200012,491.200012,199630000,1991,4,2,1,Tuesday,sellersControl
63,1991-04-03,493.329987,496.369995,492.290009,495.049988,495.049988,229810000,1991,4,3,2,Wednesday,sellersControl
64,1991-04-04,494.64001500000006,499.5,494.339996,497.57000700000003,497.57000700000003,216110000,1991,4,4,3,Thursday,sellersControl
65,1991-04-05,498.579987,499.23999000000003,494.01000999999997,495.790009,495.790009,200260000,1991,4,5,4,Friday,buyersControl
66,1991-04-08,494.47000099999997,495.76998899999995,493.89001500000006,495.64999400000005,495.64999400000005,148930000,1991,4,8,0,Monday,sellersControl
